Martin	// User ID
30-5-2023	// Evaluation date
MP_H_R5	30-5-2023	11:55:06:943	// Source file name and timestamp
100.000	// Sampling rate
33.156	// Data capture period



Sample #	IMU_Q0	IMU_Q1	IMU_Q2	IMU_Q3	Clust_Q0	Clust_Q1	Clust_Q2	Clust_Q3	New_ax_Q0	New_ax_Q1	New_ax_Q2	New_ax_Q3	
0	0.722103	-0.533150	0.108276	0.427311	0.026030	0.403184	0.852342	-0.332082	-0.430049	0.223395	-0.865781	-0.124800	
1	0.722131	-0.531749	0.111456	0.428189	0.025494	0.404056	0.852696	-0.330150	-0.431108	0.221978	-0.865433	-0.126086	
2	0.722142	-0.530400	0.114693	0.428990	0.024078	0.404362	0.853056	-0.328949	-0.431013	0.220677	-0.865609	-0.127478	
3	0.722211	-0.529698	0.116404	0.429280	0.022323	0.404142	0.853435	-0.328358	-0.430176	0.219739	-0.866063	-0.128832	
4	0.722450	-0.528321	0.119516	0.429719	0.021000	0.404934	0.853541	-0.327194	-0.430309	0.218105	-0.866260	-0.129841	
5	0.722767	-0.527309	0.121347	0.429917	0.020452	0.406485	0.853660	-0.324987	-0.431772	0.216068	-0.865880	-0.130917	
6	0.723403	-0.526591	0.121926	0.429561	0.020343	0.407556	0.854163	-0.322319	-0.433553	0.214560	-0.865124	-0.132502	
7	0.724376	-0.525475	0.123304	0.428897	0.019803	0.409375	0.854090	-0.320235	-0.435055	0.212332	-0.864798	-0.133290	
8	0.724990	-0.525070	0.123873	0.428189	0.018859	0.411050	0.854553	-0.316892	-0.436918	0.209709	-0.864175	-0.135376	
9	0.725854	-0.524571	0.124896	0.427039	0.020598	0.413304	0.855461	-0.311355	-0.441795	0.207634	-0.861810	-0.137802	
10	0.726726	-0.523827	0.126553	0.425980	0.022078	0.416799	0.855875	-0.305400	-0.447207	0.204295	-0.859483	-0.139851	
11	0.726934	-0.523441	0.127918	0.425693	0.026667	0.422565	0.855780	-0.297267	-0.456512	0.200335	-0.855344	-0.140892	
12	0.727441	-0.522428	0.130773	0.425203	0.030942	0.430223	0.854658	-0.288981	-0.466387	0.194565	-0.851342	-0.140868	
13	0.728023	-0.520559	0.135103	0.425145	0.035025	0.438520	0.852820	-0.281373	-0.475981	0.188259	-0.847609	-0.139854	
14	0.728189	-0.518578	0.139313	0.425921	0.037859	0.447309	0.850310	-0.274689	-0.484474	0.181008	-0.844644	-0.138196	
15	0.727692	-0.516724	0.143995	0.427465	0.039461	0.457689	0.846483	-0.269129	-0.492192	0.171964	-0.842588	-0.134988	
16	0.725779	-0.513608	0.154035	0.430957	0.040379	0.467725	0.841863	-0.266213	-0.497958	0.163402	-0.841674	-0.130087	
17	0.723605	-0.511410	0.163017	0.433913	0.043431	0.477751	0.837182	-0.262668	-0.505261	0.155813	-0.839572	-0.124706	
18	0.720903	-0.511018	0.170966	0.435809	0.049478	0.489617	0.831738	-0.256982	-0.516030	0.147716	-0.835395	-0.118354	
19	0.716269	-0.510422	0.184874	0.438463	0.056754	0.500688	0.826736	-0.250195	-0.527699	0.140583	-0.830096	-0.112743	
20	0.713528	-0.510975	0.193275	0.438664	0.064714	0.511350	0.821497	-0.243878	-0.539283	0.134175	-0.824506	-0.106589	
21	0.709867	-0.513700	0.202601	0.437211	0.074880	0.522065	0.816613	-0.234488	-0.553600	0.128007	-0.816583	-0.101647	
22	0.703950	-0.516994	0.216058	0.436451	0.085359	0.532788	0.810598	-0.227555	-0.566732	0.122473	-0.809259	-0.094414	
23	0.699889	-0.518971	0.223136	0.437075	0.093186	0.541157	0.805493	-0.222814	-0.576349	0.118037	-0.803803	-0.088260	
24	0.691831	-0.521401	0.236626	0.439908	0.099465	0.548806	0.799290	-0.223728	-0.581970	0.114807	-0.801194	-0.078856	
25	0.683565	-0.522792	0.250612	0.443420	0.103150	0.554729	0.793117	-0.229349	-0.583158	0.112900	-0.801578	-0.068218	
26	0.677572	-0.522069	0.260009	0.448035	0.103442	0.558502	0.787061	-0.240643	-0.578830	0.112510	-0.805687	-0.056269	
27	0.665657	-0.521330	0.277913	0.455939	0.101469	0.560543	0.780543	-0.257388	-0.569795	0.113714	-0.812786	-0.042217	
28	0.657538	-0.521549	0.288751	0.460709	0.097298	0.559606	0.775081	-0.276809	-0.557032	0.116898	-0.821709	-0.029077	
29	0.650543	-0.524606	0.294514	0.463511	0.090660	0.557964	0.768186	-0.300576	-0.540105	0.120139	-0.832867	-0.013662	
30	0.638238	-0.532422	0.302686	0.466434	0.081342	0.554218	0.761160	-0.326897	-0.519262	0.124031	-0.845565	0.001576	
31	0.630601	-0.544803	0.300396	0.463998	0.072521	0.551592	0.752395	-0.352687	-0.498939	0.126637	-0.857144	0.018091	
32	0.627298	-0.554715	0.294660	0.460396	0.062663	0.548220	0.743486	-0.377832	-0.477747	0.128816	-0.868352	0.033609	
33	0.624649	-0.562813	0.289674	0.457322	0.052836	0.545825	0.733905	-0.400833	-0.457732	0.129355	-0.878289	0.048558	
34	0.621255	-0.576961	0.279178	0.450797	0.043785	0.545191	0.723248	-0.421618	-0.439681	0.128014	-0.886699	0.063709	
35	0.616541	-0.600700	0.259031	0.438109	0.039038	0.547275	0.712677	-0.437102	-0.427963	0.125543	-0.891609	0.078229	
