Martin	// User ID
30-5-2023	// Evaluation date
MP_H_R3	30-5-2023	11:50:42:011	// Source file name and timestamp
100.000	// Sampling rate
34.321	// Data capture period



Sample #	IMU_Q0	IMU_Q1	IMU_Q2	IMU_Q3	Clust_Q0	Clust_Q1	Clust_Q2	Clust_Q3	New_ax_Q0	New_ax_Q1	New_ax_Q2	New_ax_Q3	
0	0.749751	-0.508579	0.130528	0.402720	0.008705	-0.403633	-0.861440	0.308099	0.421636	-0.197968	0.870612	0.158326	
1	0.749812	-0.508598	0.130552	0.402574	0.008480	-0.404068	-0.861521	0.307308	0.422365	-0.197570	0.870297	0.158613	
2	0.749886	-0.508601	0.130892	0.402322	0.008247	-0.404482	-0.861758	0.306104	0.423307	-0.197097	0.869830	0.159248	
3	0.749958	-0.508599	0.131291	0.402060	0.007929	-0.404909	-0.861919	0.305092	0.424206	-0.196707	0.869401	0.159683	
4	0.749943	-0.508483	0.131920	0.402031	0.007972	-0.405678	-0.861926	0.304049	0.425032	-0.195826	0.869125	0.160065	
5	0.749887	-0.508175	0.133133	0.402124	0.008053	-0.405911	-0.861986	0.303566	0.425328	-0.195482	0.869007	0.160344	
6	0.749846	-0.507671	0.134367	0.402427	0.008143	-0.405861	-0.862075	0.303377	0.425351	-0.195427	0.868967	0.160565	
7	0.749845	-0.507186	0.135169	0.402770	0.008243	-0.405968	-0.861951	0.303582	0.425224	-0.195330	0.869087	0.160368	
8	0.749869	-0.506788	0.135833	0.403003	0.008542	-0.406004	-0.861874	0.303746	0.424967	-0.195166	0.869257	0.160327	
9	0.749867	-0.506224	0.136970	0.403332	0.008011	-0.406475	-0.861362	0.304581	0.425048	-0.195286	0.869410	0.159136	
10	0.749861	-0.505945	0.137641	0.403464	0.008851	-0.406281	-0.861646	0.304014	0.424746	-0.194827	0.869493	0.160050	
11	0.749832	-0.505981	0.137920	0.403377	0.008923	-0.406633	-0.861457	0.304077	0.424809	-0.194517	0.869577	0.159802	
12	0.749769	-0.506005	0.138396	0.403302	0.009006	-0.406818	-0.861366	0.304084	0.424828	-0.194322	0.869628	0.159710	
13	0.749758	-0.506103	0.138414	0.403192	0.008924	-0.406997	-0.861250	0.304175	0.424902	-0.194246	0.869649	0.159489	
14	0.749776	-0.506271	0.138352	0.402968	0.008963	-0.407116	-0.861153	0.304288	0.424866	-0.194154	0.869716	0.159336	
15	0.749769	-0.506413	0.138502	0.402753	0.008902	-0.407115	-0.860978	0.304788	0.424642	-0.194305	0.869871	0.158903	
16	0.749736	-0.506526	0.138698	0.402604	0.008963	-0.407117	-0.860890	0.305031	0.424477	-0.194323	0.869979	0.158726	
17	0.749724	-0.506737	0.139062	0.402235	0.008994	-0.407115	-0.860738	0.305461	0.424232	-0.194405	0.870142	0.158386	
18	0.749695	-0.506899	0.139287	0.402008	0.009225	-0.407176	-0.860594	0.305778	0.423947	-0.194295	0.870344	0.158176	
19	0.749580	-0.507054	0.139298	0.402022	0.008314	-0.407958	-0.860076	0.306219	0.424593	-0.194293	0.870250	0.156961	
20	0.749401	-0.507369	0.139322	0.401950	0.008285	-0.408991	-0.859707	0.305879	0.425201	-0.193401	0.870222	0.156568	
21	0.749316	-0.507588	0.139128	0.401900	0.007828	-0.410029	-0.859636	0.304697	0.426518	-0.192559	0.869741	0.156696	
22	0.749195	-0.507898	0.138738	0.401869	0.007314	-0.410758	-0.859692	0.303568	0.427718	-0.192010	0.869227	0.156954	
23	0.748965	-0.508330	0.138485	0.401838	0.006904	-0.411237	-0.859823	0.302555	0.428692	-0.191628	0.868765	0.157318	
24	0.748775	-0.508536	0.138641	0.401877	0.006647	-0.411422	-0.859917	0.302043	0.429193	-0.191510	0.868508	0.157519	
25	0.748670	-0.508533	0.139077	0.401927	0.006690	-0.411179	-0.859896	0.302432	0.428866	-0.191770	0.868638	0.157373	
26	0.748536	-0.508294	0.140204	0.402087	0.007160	-0.410622	-0.859735	0.303636	0.427724	-0.192224	0.869182	0.156926	
27	0.748365	-0.507895	0.141690	0.402389	0.008258	-0.410090	-0.859327	0.305474	0.425868	-0.192439	0.870178	0.156186	
28	0.748285	-0.507534	0.142449	0.402724	0.009437	-0.409511	-0.858913	0.307375	0.423907	-0.192658	0.871218	0.155451	
29	0.748182	-0.506987	0.143345	0.403286	0.010447	-0.409013	-0.858504	0.309144	0.422152	-0.192876	0.872154	0.154705	
30	0.748120	-0.506672	0.143811	0.403631	0.010955	-0.408782	-0.858215	0.310233	0.421170	-0.193015	0.872696	0.154151	
31	0.748198	-0.507039	0.142954	0.403330	0.011199	-0.408885	-0.858041	0.310570	0.420883	-0.192867	0.872912	0.153901	
32	0.748322	-0.507785	0.141481	0.402680	0.011167	-0.409068	-0.858009	0.310420	0.421054	-0.192704	0.872866	0.153896	
33	0.748427	-0.508477	0.140328	0.402015	0.010899	-0.409925	-0.857994	0.309336	0.422133	-0.191924	0.872474	0.154135	
34	0.748526	-0.509440	0.138985	0.401076	0.009960	-0.410247	-0.858376	0.307878	0.423610	-0.191877	0.871656	0.154767	
35	0.748586	-0.510661	0.137351	0.399974	0.009560	-0.411613	-0.858306	0.306259	0.425251	-0.190640	0.871075	0.155067	
36	0.748494	-0.511116	0.137021	0.399678	0.008535	-0.412209	-0.858721	0.304318	0.427143	-0.190308	0.870076	0.155882	
