Martin	// User ID
7-7-2023	// Evaluation date
CON_HO_R4	7-7-2023	09:54:47:055	// Source file name and timestamp
100.000	// Sampling rate
33.360	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
0	0.232803	-0.006637	-0.015283	-0.972381	0.193876	-0.001799	-0.023970	-0.980732	0.246540	-0.007029	-0.027164	-0.968726	0.248520	0.007025	-0.024521	-0.968291	0.998526	-0.020471	-0.049881	0.006260	0.621780	-0.592537	-0.365921	-0.358318	
1	0.232881	-0.006645	-0.015291	-0.972362	0.193846	-0.001836	-0.023940	-0.980738	0.246525	-0.007036	-0.027159	-0.968730	0.248562	0.006996	-0.024572	-0.968279	0.998532	-0.020381	-0.049806	0.006147	0.621824	-0.592544	-0.365776	-0.358378	
2	0.232852	-0.006642	-0.015306	-0.972369	0.193850	-0.001828	-0.023942	-0.980737	0.246531	-0.007026	-0.027187	-0.968728	0.248522	0.007015	-0.024541	-0.968290	0.998535	-0.020260	-0.049799	0.006050	0.621868	-0.592501	-0.365673	-0.358477	
3	0.232767	-0.006636	-0.015304	-0.972390	0.193860	-0.001800	-0.023959	-0.980735	0.246525	-0.007021	-0.027199	-0.968729	0.248385	0.007031	-0.024503	-0.968326	0.998531	-0.020383	-0.049830	0.006078	0.621792	-0.592559	-0.365750	-0.358436	
4	0.232700	-0.006639	-0.015285	-0.972406	0.193811	-0.001804	-0.023965	-0.980744	0.246514	-0.007032	-0.027180	-0.968732	0.248263	0.007016	-0.024511	-0.968357	0.998526	-0.020453	-0.049897	0.006214	0.621770	-0.592534	-0.365897	-0.358364	
5	0.232646	-0.006647	-0.015274	-0.972419	0.193702	-0.001827	-0.023972	-0.980766	0.246570	-0.007038	-0.027176	-0.968718	0.248277	0.007017	-0.024505	-0.968354	0.998525	-0.020453	-0.049912	0.006184	0.621754	-0.592538	-0.365889	-0.358393	
6	0.232598	-0.006654	-0.015257	-0.972431	0.193630	-0.001827	-0.023969	-0.980780	0.246568	-0.007041	-0.027179	-0.968719	0.248320	0.007013	-0.024509	-0.968343	0.998523	-0.020486	-0.049935	0.006264	0.621753	-0.592524	-0.365962	-0.358343	
7	0.232614	-0.006661	-0.015256	-0.972427	0.193616	-0.001809	-0.023943	-0.980784	0.246569	-0.007030	-0.027183	-0.968718	0.248345	0.006997	-0.024516	-0.968336	0.998530	-0.020395	-0.049847	0.006052	0.621769	-0.592569	-0.365749	-0.358459	
8	0.232691	-0.006663	-0.015275	-0.972408	0.193610	-0.001798	-0.023920	-0.980785	0.246635	-0.007016	-0.027188	-0.968702	0.248381	0.006988	-0.024512	-0.968327	0.998526	-0.020408	-0.049891	0.006286	0.621824	-0.592484	-0.365922	-0.358328	
9	0.232728	-0.006657	-0.015285	-0.972399	0.193567	-0.001796	-0.023940	-0.980793	0.246683	-0.007035	-0.027184	-0.968689	0.248445	0.006991	-0.024514	-0.968311	0.998525	-0.020467	-0.049914	0.006184	0.621745	-0.592546	-0.365895	-0.358389	
10	0.232703	-0.006661	-0.015301	-0.972405	0.193507	-0.001779	-0.023951	-0.980805	0.246741	-0.007076	-0.027152	-0.968675	0.248491	0.006985	-0.024515	-0.968299	0.998528	-0.020411	-0.049873	0.006225	0.621808	-0.592513	-0.365874	-0.358356	
11	0.232711	-0.006658	-0.015315	-0.972403	0.193487	-0.001777	-0.023942	-0.980809	0.246786	-0.007094	-0.027134	-0.968664	0.248496	0.006967	-0.024542	-0.968297	0.998523	-0.020492	-0.049929	0.006237	0.621743	-0.592539	-0.365944	-0.358355	
12	0.232784	-0.006635	-0.015319	-0.972385	0.193505	-0.001795	-0.023928	-0.980806	0.246793	-0.007083	-0.027151	-0.968662	0.248494	0.006941	-0.024581	-0.968297	0.998520	-0.020483	-0.049976	0.006346	0.621768	-0.592481	-0.366036	-0.358314	
13	0.232822	-0.006620	-0.015340	-0.972376	0.193484	-0.001785	-0.023905	-0.980811	0.246804	-0.007089	-0.027149	-0.968659	0.248532	0.006924	-0.024556	-0.968288	0.998521	-0.020455	-0.049975	0.006345	0.621785	-0.592464	-0.366025	-0.358323	
14	0.232871	-0.006612	-0.015354	-0.972364	0.193462	-0.001780	-0.023900	-0.980815	0.246791	-0.007097	-0.027147	-0.968662	0.248537	0.006953	-0.024556	-0.968286	0.998527	-0.020435	-0.049865	0.006227	0.621797	-0.592530	-0.365878	-0.358343	
15	0.232943	-0.006580	-0.015357	-0.972347	0.193438	-0.001788	-0.023909	-0.980819	0.246751	-0.007104	-0.027148	-0.968672	0.248501	0.006979	-0.024584	-0.968294	0.998525	-0.020520	-0.049880	0.006201	0.621731	-0.592587	-0.365901	-0.358340	
16	0.232992	-0.006535	-0.015366	-0.972335	0.193395	-0.001787	-0.023909	-0.980828	0.246718	-0.007114	-0.027136	-0.968681	0.248471	0.006960	-0.024583	-0.968302	0.998522	-0.020539	-0.049929	0.006265	0.621723	-0.592560	-0.365977	-0.358321	
17	0.232997	-0.006542	-0.015377	-0.972334	0.193370	-0.001786	-0.023906	-0.980833	0.246701	-0.007113	-0.027125	-0.968686	0.248460	0.006962	-0.024563	-0.968306	0.998526	-0.020474	-0.049879	0.006197	0.621758	-0.592559	-0.365883	-0.358358	
18	0.232988	-0.006551	-0.015392	-0.972336	0.193345	-0.001787	-0.023893	-0.980838	0.246665	-0.007129	-0.027117	-0.968695	0.248482	0.006963	-0.024558	-0.968300	0.998529	-0.020365	-0.049866	0.006185	0.621825	-0.592499	-0.365832	-0.358394	
