Martin	// User ID
7-7-2023	// Evaluation date
COM_MP_R5	7-7-2023	10:13:38:491	// Source file name and timestamp
100.000	// Sampling rate
36.026	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
0	0.609297	-0.003669	0.030019	0.792365	0.601266	-0.010294	0.033387	0.798284	0.597400	-0.013561	0.038161	0.800920	0.605870	-0.018864	0.025864	0.794919	0.671980	-0.009824	0.739839	0.031377	0.680093	-0.650075	0.240757	0.238560	
1	0.609286	-0.003674	0.030021	0.792373	0.601274	-0.010305	0.033392	0.798278	0.597393	-0.013555	0.038152	0.800926	0.605882	-0.018855	0.025867	0.794910	0.672038	-0.009893	0.739791	0.031257	0.680033	-0.650177	0.240756	0.238456	
2	0.609244	-0.003679	0.030016	0.792406	0.601248	-0.010289	0.033375	0.798299	0.597376	-0.013558	0.038146	0.800939	0.605896	-0.018845	0.025846	0.794900	0.672026	-0.009870	0.739797	0.031375	0.680081	-0.650119	0.240701	0.238533	
3	0.609277	-0.003686	0.030021	0.792381	0.601226	-0.010247	0.033352	0.798317	0.597364	-0.013571	0.038144	0.800948	0.605849	-0.018866	0.025831	0.794936	0.671998	-0.009855	0.739819	0.031463	0.680109	-0.650072	0.240676	0.238608	
4	0.609301	-0.003697	0.030038	0.792361	0.601215	-0.010234	0.033347	0.798326	0.597404	-0.013581	0.038155	0.800917	0.605782	-0.018869	0.025824	0.794988	0.672030	-0.009832	0.739798	0.031273	0.680072	-0.650130	0.240774	0.238455	
5	0.609302	-0.003704	0.030058	0.792360	0.601202	-0.010249	0.033360	0.798335	0.597431	-0.013584	0.038164	0.800896	0.605763	-0.018851	0.025823	0.795003	0.671885	-0.009821	0.739920	0.031503	0.680103	-0.650003	0.240766	0.238722	
6	0.609340	-0.003698	0.030061	0.792330	0.601192	-0.010258	0.033370	0.798341	0.597392	-0.013590	0.038156	0.800926	0.605791	-0.018842	0.025828	0.794981	0.671946	-0.009902	0.739867	0.031426	0.680050	-0.650099	0.240731	0.238646	
7	0.609405	-0.003687	0.030038	0.792281	0.601205	-0.010262	0.033370	0.798332	0.597376	-0.013611	0.038147	0.800938	0.605779	-0.018836	0.025834	0.794990	0.672037	-0.009843	0.739788	0.031373	0.680101	-0.650105	0.240702	0.238514	
8	0.609442	-0.003696	0.030022	0.792254	0.601199	-0.010272	0.033360	0.798337	0.597409	-0.013614	0.038151	0.800913	0.605740	-0.018843	0.025829	0.795020	0.671916	-0.009824	0.739897	0.031383	0.680072	-0.650055	0.240813	0.238621	
9	0.609456	-0.003718	0.030029	0.792243	0.601185	-0.010270	0.033347	0.798348	0.597473	-0.013592	0.038153	0.800866	0.605723	-0.018873	0.025830	0.795033	0.672035	-0.009875	0.739791	0.031300	0.680057	-0.650150	0.240738	0.238479	
