Martin	// User ID
7-7-2023	// Evaluation date
CON_SO_R1	7-7-2023	10:18:29:719	// Source file name and timestamp
100.000	// Sampling rate
120.000	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
0	0.341033	-0.338559	0.519391	0.706617	0.344295	-0.347902	0.517752	0.701682	0.336861	-0.343561	0.524863	0.702146	0.355839	-0.356971	0.514731	0.693543	0.660243	0.524504	0.512699	0.161597	0.963377	-0.177020	0.200591	0.018220	
1	0.344298	-0.332881	0.515328	0.710695	0.347627	-0.342162	0.513838	0.705727	0.338918	-0.340693	0.522463	0.704340	0.359223	-0.351367	0.510689	0.697637	0.662393	0.512618	0.522879	0.158289	0.959820	-0.190548	0.204446	0.025285	
2	0.346940	-0.328980	0.512085	0.713565	0.350364	-0.338225	0.510682	0.708557	0.343541	-0.334788	0.517158	0.708833	0.362012	-0.347580	0.507440	0.700457	0.665562	0.500133	0.531704	0.155512	0.956307	-0.204445	0.206574	0.031730	
3	0.351663	-0.323690	0.506652	0.717539	0.355215	-0.332933	0.505368	0.712447	0.350146	-0.326834	0.509597	0.714765	0.366572	-0.342413	0.502208	0.704390	0.666471	0.488812	0.542005	0.152021	0.952258	-0.216964	0.211212	0.038988	
4	0.358122	-0.316147	0.499096	0.722982	0.361805	-0.325469	0.498026	0.717731	0.356180	-0.320782	0.502866	0.719278	0.372914	-0.335152	0.494874	0.709724	0.667959	0.475912	0.552436	0.148842	0.947789	-0.230798	0.215024	0.046839	
5	0.362443	-0.311969	0.494228	0.725981	0.366140	-0.321511	0.493435	0.720482	0.360902	-0.316551	0.497748	0.722352	0.377178	-0.331222	0.490166	0.712577	0.669846	0.462648	0.562469	0.144539	0.942850	-0.245335	0.218998	0.053705	
6	0.370848	-0.304501	0.484911	0.731172	0.374541	-0.314281	0.484544	0.725371	0.369880	-0.308838	0.488088	0.727721	0.385410	-0.324089	0.481103	0.717611	0.671105	0.449306	0.572587	0.141019	0.937750	-0.259323	0.222736	0.061368	
7	0.379113	-0.297071	0.475640	0.736063	0.382859	-0.307017	0.475560	0.730069	0.378343	-0.301711	0.478859	0.732476	0.393513	-0.316933	0.472005	0.722435	0.672149	0.435833	0.582684	0.136916	0.932226	-0.273448	0.226833	0.068756	
8	0.384987	-0.292540	0.469272	0.738911	0.388815	-0.302627	0.469279	0.732815	0.384454	-0.297188	0.472272	0.735414	0.399321	-0.312529	0.465658	0.725280	0.672590	0.422454	0.593296	0.130976	0.925912	-0.287920	0.232593	0.075434	
9	0.396406	-0.283339	0.456355	0.744528	0.401198	-0.293009	0.455688	0.738603	0.396268	-0.288200	0.459204	0.740975	0.410647	-0.303584	0.452913	0.730805	0.672464	0.409903	0.603552	0.124490	0.919423	-0.301570	0.238913	0.081471	
10	0.404189	-0.277133	0.447189	0.748232	0.414128	-0.283219	0.440823	0.744285	0.404250	-0.282264	0.450032	0.744567	0.418391	-0.297538	0.443856	0.734447	0.673511	0.394331	0.613597	0.119936	0.912475	-0.317188	0.242533	0.089212	
11	0.411940	-0.271632	0.437834	0.751547	0.422371	-0.277427	0.431013	0.747572	0.412155	-0.277019	0.440557	0.747862	0.426074	-0.292124	0.434543	0.737765	0.673589	0.379539	0.623833	0.114284	0.905054	-0.332138	0.247514	0.096433	
12	0.426225	-0.261078	0.420101	0.757420	0.429549	-0.272410	0.422231	0.750334	0.424834	-0.268107	0.425041	0.752977	0.440205	-0.281743	0.416947	0.743637	0.673557	0.364941	0.633423	0.109154	0.897646	-0.346508	0.251864	0.103579	
13	0.437860	-0.252765	0.404816	0.761914	0.441938	-0.263673	0.406505	0.754931	0.431321	-0.263700	0.416755	0.755473	0.451796	-0.273573	0.401794	0.748064	0.671936	0.351405	0.643999	0.101404	0.889271	-0.360420	0.259298	0.109812	
14	0.444618	-0.248051	0.395522	0.764426	0.450300	-0.257810	0.395469	0.757870	0.441331	-0.256990	0.403430	0.759228	0.458541	-0.268920	0.392582	0.750534	0.672581	0.334814	0.652676	0.097718	0.881304	-0.375713	0.261294	0.117764	
15	0.453179	-0.241972	0.383491	0.767471	0.457952	-0.252650	0.384912	0.760454	0.452651	-0.249077	0.387988	0.763238	0.466980	-0.262898	0.380648	0.753606	0.673086	0.318169	0.661047	0.093495	0.872932	-0.391026	0.263441	0.125248	
16	0.465390	-0.233246	0.365871	0.771458	0.470715	-0.243658	0.366977	0.764451	0.458681	-0.245067	0.379515	0.765194	0.478996	-0.254256	0.363152	0.757652	0.672973	0.302021	0.669333	0.088791	0.864266	-0.405773	0.266189	0.132419	
17	0.471872	-0.228546	0.356328	0.773391	0.477486	-0.238857	0.357309	0.766345	0.470798	-0.236789	0.362285	0.768785	0.485382	-0.249565	0.353643	0.759643	0.672916	0.286112	0.677118	0.082674	0.855138	-0.420686	0.269522	0.138276	
18	0.481406	-0.221387	0.342144	0.775998	0.487119	-0.231750	0.343429	0.768807	0.479848	-0.230321	0.349109	0.771246	0.494785	-0.242404	0.339554	0.762320	0.673672	0.269643	0.683667	0.077833	0.846236	-0.435616	0.270835	0.144126	
19	0.492439	-0.212721	0.325188	0.778785	0.498545	-0.222825	0.326445	0.771515	0.486527	-0.225181	0.339156	0.773019	0.505735	-0.233704	0.322700	0.765166	0.674138	0.252656	0.690333	0.071718	0.836439	-0.451161	0.272905	0.149485	
20	0.497595	-0.208035	0.316612	0.780306	0.503972	-0.217980	0.317851	0.772961	0.499867	-0.214270	0.318363	0.776444	0.511050	-0.228995	0.314132	0.766623	0.673972	0.236066	0.696989	0.065122	0.826304	-0.466222	0.275596	0.154612	
21	0.507584	-0.198262	0.299082	0.783327	0.514252	-0.208224	0.300556	0.775792	0.510542	-0.204346	0.300034	0.779467	0.521206	-0.219470	0.296862	0.769448	0.673755	0.219509	0.703149	0.058758	0.816074	-0.480987	0.277853	0.159598	
22	0.515416	-0.190240	0.284563	0.785608	0.522227	-0.200115	0.286240	0.778010	0.516148	-0.198381	0.289285	0.781377	0.529066	-0.211549	0.282615	0.771664	0.672941	0.203237	0.709315	0.052132	0.805541	-0.495297	0.280562	0.164530	
23	0.520174	-0.184526	0.274075	0.787561	0.527005	-0.194177	0.275898	0.780027	0.522106	-0.191608	0.276781	0.783635	0.533775	-0.205699	0.272367	0.773685	0.672284	0.186884	0.714859	0.045662	0.794913	-0.509491	0.282694	0.169163	
24	0.529191	-0.173507	0.253864	0.790825	0.536214	-0.182962	0.255938	0.783259	0.530887	-0.181072	0.257163	0.786917	0.543632	-0.193524	0.250461	0.777356	0.671189	0.170860	0.720249	0.039426	0.784227	-0.523081	0.284840	0.173897	
25	0.533944	-0.167314	0.242158	0.792635	0.541106	-0.176618	0.244399	0.785035	0.535555	-0.175253	0.245974	0.788647	0.551665	-0.182704	0.230387	0.780517	0.670064	0.153876	0.725448	0.032563	0.772673	-0.537415	0.286922	0.178432	
26	0.539177	-0.160312	0.228075	0.794714	0.546640	-0.169403	0.230341	0.787039	0.541263	-0.168243	0.231603	0.790625	0.555918	-0.176631	0.218586	0.782290	0.668790	0.136301	0.730396	0.025756	0.760605	-0.551939	0.288654	0.183093	
