Martin	// User ID
7-7-2023	// Evaluation date
CON_SP_R2	7-7-2023	10:23:19:504	// Source file name and timestamp
100.000	// Sampling rate
120.000	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
0	0.791924	0.205791	-0.373766	0.436813	0.799221	0.203570	-0.370203	0.427498	0.798754	0.191147	-0.366021	0.437589	0.791787	0.195368	-0.380855	0.435722	0.237223	-0.475921	0.838235	-0.120777	0.098837	-0.774723	0.378044	0.497110	
1	0.787351	0.209349	-0.381437	0.436758	0.794728	0.207153	-0.377678	0.427614	0.793765	0.195255	-0.374520	0.437662	0.787179	0.198906	-0.388309	0.435892	0.239878	-0.480918	0.834340	-0.122695	0.095656	-0.778853	0.374109	0.494247	
2	0.783835	0.212038	-0.386951	0.436935	0.791275	0.209957	-0.383053	0.427870	0.787972	0.199909	-0.384161	0.437672	0.783598	0.201683	-0.393778	0.436163	0.243980	-0.485074	0.830392	-0.125005	0.093766	-0.783415	0.370193	0.490333	
3	0.777469	0.216753	-0.396746	0.437210	0.785076	0.214866	-0.392552	0.428242	0.785267	0.202028	-0.388225	0.437974	0.777178	0.206493	-0.403397	0.436608	0.248423	-0.488484	0.826728	-0.127237	0.092664	-0.787767	0.366558	0.486283	
4	0.774290	0.219032	-0.401184	0.437665	0.781970	0.217214	-0.396817	0.428810	0.779416	0.206472	-0.396649	0.438805	0.774007	0.208771	-0.407684	0.437174	0.254513	-0.491171	0.822834	-0.130070	0.092786	-0.792753	0.362846	0.480912	
5	0.769977	0.221971	-0.406537	0.438854	0.777687	0.220210	-0.401964	0.430274	0.772945	0.210969	-0.405119	0.440372	0.769660	0.211711	-0.412844	0.438591	0.261579	-0.492032	0.819512	-0.133722	0.094542	-0.797597	0.360301	0.474430	
6	0.764442	0.225524	-0.413364	0.440337	0.772236	0.223846	-0.408504	0.432053	0.769144	0.213168	-0.409264	0.442131	0.762728	0.215881	-0.420753	0.441145	0.268855	-0.492324	0.816351	-0.137497	0.096784	-0.802292	0.358060	0.467710	
7	0.761702	0.226588	-0.416004	0.442050	0.769611	0.224933	-0.410918	0.433879	0.765995	0.214466	-0.412440	0.444015	0.757955	0.217839	-0.425198	0.444135	0.277277	-0.492014	0.813035	-0.141472	0.100015	-0.807296	0.355672	0.460182	
8	0.756188	0.228412	-0.421177	0.445665	0.764003	0.226761	-0.415943	0.438030	0.760336	0.216179	-0.417681	0.447994	0.755003	0.218528	-0.427610	0.446504	0.286963	-0.490385	0.809826	-0.146142	0.104653	-0.812462	0.353808	0.451413	
9	0.751515	0.229539	-0.425405	0.448964	0.757236	0.227842	-0.421479	0.443889	0.756009	0.216935	-0.421302	0.451547	0.750082	0.218907	-0.431328	0.451013	0.297388	-0.487259	0.806996	-0.151318	0.110619	-0.817391	0.352763	0.441807	
10	0.748033	0.228817	-0.427701	0.452948	0.752849	0.227123	-0.424292	0.449010	0.752448	0.216191	-0.423617	0.455667	0.744504	0.218795	-0.435160	0.456595	0.308651	-0.483517	0.804104	-0.156085	0.117616	-0.822270	0.351372	0.431946	
11	0.740688	0.227457	-0.432618	0.460962	0.749402	0.225962	-0.426364	0.453378	0.745849	0.214956	-0.427938	0.463004	0.741408	0.217600	-0.436811	0.460610	0.320440	-0.478264	0.801483	-0.161887	0.125596	-0.826908	0.351119	0.420908	
12	0.733842	0.224394	-0.436387	0.469777	0.743198	0.223029	-0.429627	0.461883	0.742039	0.213428	-0.429995	0.467901	0.735385	0.214783	-0.439923	0.468556	0.332234	-0.472656	0.798967	-0.166936	0.134082	-0.831113	0.350602	0.410306	
13	0.729740	0.221285	-0.438065	0.476038	0.738193	0.219941	-0.431886	0.469225	0.737247	0.209874	-0.431818	0.475346	0.730183	0.211953	-0.442402	0.475594	0.345166	-0.465902	0.796228	-0.172677	0.143686	-0.835403	0.350376	0.398363	
14	0.725347	0.217357	-0.439570	0.483121	0.734572	0.216041	-0.432875	0.475762	0.730442	0.205177	-0.434500	0.485352	0.726660	0.208148	-0.443303	0.481790	0.357660	-0.457982	0.793937	-0.178873	0.153695	-0.838973	0.351252	0.386166	
15	0.718149	0.210124	-0.441497	0.495167	0.727581	0.208830	-0.434639	0.487961	0.727020	0.201416	-0.435199	0.491402	0.719633	0.201148	-0.445144	0.493472	0.370464	-0.449260	0.791730	-0.184624	0.164563	-0.842093	0.352088	0.373942	
16	0.713947	0.204970	-0.442077	0.502828	0.723358	0.203669	-0.435156	0.495895	0.720684	0.193801	-0.435969	0.502978	0.715420	0.196160	-0.445726	0.501023	0.383148	-0.440365	0.789713	-0.188761	0.176067	-0.844572	0.352176	0.362865	
17	0.709167	0.197638	-0.441881	0.512603	0.718752	0.196393	-0.434769	0.505768	0.714699	0.186642	-0.436462	0.513684	0.710917	0.189039	-0.445341	0.510424	0.394685	-0.432453	0.787149	-0.193918	0.185714	-0.847146	0.352559	0.351506	
18	0.702074	0.187369	-0.441633	0.526255	0.711760	0.186241	-0.434406	0.519618	0.711251	0.180854	-0.435773	0.521071	0.702768	0.176880	-0.444709	0.526369	0.407398	-0.420969	0.785800	-0.198320	0.198914	-0.848273	0.354111	0.339810	
19	0.698785	0.181480	-0.440814	0.533336	0.708469	0.180419	-0.433565	0.526823	0.703553	0.168755	-0.434479	0.536435	0.696669	0.166205	-0.443110	0.539149	0.418409	-0.411749	0.783748	-0.202821	0.209391	-0.849645	0.355046	0.328939	
20	0.693072	0.170661	-0.438717	0.545943	0.702747	0.169690	-0.431464	0.539621	0.696145	0.156115	-0.432201	0.551555	0.693198	0.159462	-0.441641	0.546811	0.429842	-0.402367	0.781196	-0.207533	0.220007	-0.851062	0.355703	0.317436	
21	0.687156	0.159927	-0.436473	0.558329	0.696835	0.159075	-0.429219	0.552166	0.691940	0.147913	-0.430004	0.560748	0.688331	0.150038	-0.439234	0.557460	0.440107	-0.392199	0.779383	-0.212248	0.230573	-0.851521	0.357485	0.306516	
22	0.684163	0.153217	-0.434321	0.565517	0.693843	0.152498	-0.427118	0.559372	0.688013	0.140295	-0.427760	0.569190	0.681893	0.137416	-0.435634	0.571281	0.450446	-0.382312	0.777558	-0.215268	0.241590	-0.851656	0.358125	0.296754	
23	0.677823	0.139789	-0.430048	0.579719	0.687430	0.139247	-0.423007	0.573686	0.681429	0.127089	-0.423467	0.583248	0.678841	0.130737	-0.433388	0.578151	0.460101	-0.371888	0.775839	-0.219274	0.252186	-0.851386	0.359828	0.286476	
24	0.673559	0.130790	-0.427032	0.588945	0.683100	0.130332	-0.420090	0.583020	0.677284	0.118580	-0.420476	0.591968	0.673744	0.119560	-0.429460	0.589355	0.470317	-0.361634	0.773361	-0.223461	0.262736	-0.851364	0.360908	0.275489	
25	0.670065	0.122652	-0.423981	0.596833	0.679559	0.122266	-0.417150	0.590962	0.673483	0.110418	-0.417399	0.600006	0.668188	0.107929	-0.425324	0.600812	0.478963	-0.351890	0.771258	-0.227878	0.272004	-0.850934	0.362703	0.265276	
26	0.663744	0.109076	-0.418959	0.609934	0.672283	0.106864	-0.411612	0.605964	0.667044	0.097220	-0.412374	0.612820	0.665481	0.101712	-0.422996	0.606517	0.488428	-0.341479	0.769639	-0.229099	0.283446	-0.849692	0.362859	0.256932	
27	0.660700	0.102312	-0.416345	0.616169	0.666573	0.094567	-0.406956	0.617352	0.663962	0.090648	-0.409784	0.618881	0.659634	0.089006	-0.418201	0.618118	0.498168	-0.329369	0.767374	-0.233415	0.294825	-0.848294	0.364938	0.245551	
28	0.656131	0.092014	-0.412314	0.625318	0.663492	0.087690	-0.404235	0.623444	0.659268	0.080553	-0.405724	0.627905	0.655402	0.079985	-0.414717	0.626147	0.507456	-0.316423	0.766214	-0.235121	0.307654	-0.845614	0.366601	0.236409	
29	0.650635	0.080090	-0.407516	0.635759	0.660987	0.082190	-0.402007	0.628276	0.653646	0.068913	-0.400880	0.638195	0.652301	0.072742	-0.411691	0.632237	0.517019	-0.304116	0.764331	-0.236648	0.320106	-0.843211	0.367382	0.227063	
30	0.648288	0.074106	-0.404674	0.640679	0.657338	0.073824	-0.398314	0.635455	0.651178	0.063008	-0.398018	0.643101	0.645890	0.058051	-0.405123	0.644462	0.525764	-0.291437	0.762764	-0.238384	0.332282	-0.840251	0.368883	0.217928	
31	0.643113	0.061141	-0.398165	0.651254	0.651882	0.060694	-0.391874	0.646375	0.646074	0.050818	-0.391863	0.653031	0.640995	0.045599	-0.398654	0.654310	0.534563	-0.277715	0.761517	-0.239183	0.345539	-0.836451	0.370368	0.209237	
32	0.637398	0.046531	-0.390127	0.662842	0.646417	0.047020	-0.384337	0.657434	0.642125	0.041373	-0.386784	0.660577	0.638412	0.038342	-0.394408	0.659850	0.543487	-0.265387	0.759492	-0.239507	0.357951	-0.833214	0.370549	0.200798	
33	0.634156	0.037455	-0.384408	0.669831	0.642742	0.037512	-0.378485	0.665000	0.639444	0.034028	-0.382084	0.666307	0.635134	0.029538	-0.388951	0.666670	0.552715	-0.249240	0.758359	-0.239326	0.373309	-0.827819	0.372206	0.191882	
34	0.631983	0.031770	-0.380651	0.674309	0.640045	0.030412	-0.373602	0.670701	0.633998	0.020531	-0.373606	0.676790	0.630223	0.016403	-0.380354	0.676669	0.561233	-0.234922	0.757158	-0.237782	0.387551	-0.822723	0.372610	0.184642	
