Martin	// User ID
7-7-2023	// Evaluation date
CON_VE_R5	7-7-2023	10:05:14:599	// Source file name and timestamp
100.000	// Sampling rate
32.958	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
0	0.668427	0.039545	-0.706668	-0.228606	0.688830	-0.041507	-0.708290	-0.148715	0.697246	-0.104941	-0.703944	-0.085427	0.687439	-0.093737	-0.713437	-0.098227	0.243673	0.399598	-0.682669	0.561166	0.367403	0.526640	-0.722322	-0.256742	
1	0.668406	0.039522	-0.706678	-0.228643	0.688819	-0.041426	-0.708291	-0.148781	0.697246	-0.105002	-0.703942	-0.085373	0.687397	-0.093715	-0.713474	-0.098274	0.243381	0.400066	-0.682791	0.560811	0.367334	0.527045	-0.721935	-0.257097	
2	0.668379	0.039537	-0.706695	-0.228668	0.688811	-0.041387	-0.708293	-0.148817	0.697245	-0.105026	-0.703941	-0.085361	0.687385	-0.093702	-0.713480	-0.098326	0.243529	0.399871	-0.682718	0.560975	0.367392	0.526858	-0.722100	-0.256934	
3	0.668371	0.039551	-0.706708	-0.228650	0.688813	-0.041401	-0.708287	-0.148836	0.697254	-0.105055	-0.703930	-0.085335	0.687395	-0.093718	-0.713468	-0.098330	0.243433	0.400042	-0.682737	0.560871	0.367392	0.526999	-0.721961	-0.257036	
4	0.668372	0.039556	-0.706709	-0.228641	0.688814	-0.041426	-0.708281	-0.148856	0.697273	-0.105140	-0.703910	-0.085239	0.687408	-0.093766	-0.713456	-0.098276	0.243561	0.399759	-0.682775	0.560972	0.367327	0.526784	-0.722184	-0.256945	
5	0.668376	0.039523	-0.706720	-0.228600	0.688819	-0.041428	-0.708280	-0.148835	0.697287	-0.105159	-0.703895	-0.085232	0.687435	-0.093830	-0.713428	-0.098233	0.243571	0.399861	-0.682754	0.560920	0.367383	0.526820	-0.722108	-0.257003	
6	0.668383	0.039511	-0.706730	-0.228552	0.688829	-0.041440	-0.708275	-0.148804	0.697292	-0.105165	-0.703889	-0.085231	0.687444	-0.093838	-0.713423	-0.098202	0.243555	0.399789	-0.682719	0.561022	0.367376	0.526804	-0.722165	-0.256887	
7	0.668386	0.039512	-0.706735	-0.228527	0.688846	-0.041460	-0.708263	-0.148780	0.697291	-0.105161	-0.703891	-0.085228	0.687437	-0.093822	-0.713432	-0.098196	0.243513	0.399999	-0.682716	0.560893	0.367431	0.526923	-0.722001	-0.257022	
8	0.668385	0.039484	-0.706740	-0.228519	0.688861	-0.041451	-0.708254	-0.148756	0.697290	-0.105113	-0.703893	-0.085279	0.687436	-0.093827	-0.713429	-0.098222	0.243435	0.400051	-0.682769	0.560826	0.367372	0.527000	-0.721952	-0.257088	
9	0.668400	0.039444	-0.706735	-0.228499	0.688863	-0.041417	-0.708257	-0.148743	0.697296	-0.105074	-0.703887	-0.085328	0.687425	-0.093809	-0.713438	-0.098245	0.243572	0.399767	-0.682721	0.561027	0.367374	0.526782	-0.722183	-0.256883	
10	0.668406	0.039425	-0.706733	-0.228489	0.688870	-0.041421	-0.708256	-0.148718	0.697302	-0.105049	-0.703882	-0.085348	0.687414	-0.093787	-0.713453	-0.098241	0.243359	0.400263	-0.682693	0.560801	0.367465	0.527149	-0.721791	-0.257101	
11	0.668406	0.039424	-0.706737	-0.228476	0.688878	-0.041456	-0.708253	-0.148682	0.697311	-0.105001	-0.703876	-0.085388	0.687413	-0.093787	-0.713457	-0.098219	0.243567	0.399829	-0.682676	0.561039	0.367428	0.526814	-0.722138	-0.256867	
12	0.668417	0.039416	-0.706739	-0.228440	0.688875	-0.041483	-0.708262	-0.148649	0.697322	-0.104915	-0.703868	-0.085470	0.687414	-0.093798	-0.713457	-0.098202	0.243535	0.399917	-0.682711	0.560948	0.367417	0.526872	-0.722066	-0.256965	
13	0.668424	0.039396	-0.706745	-0.228406	0.688879	-0.041518	-0.708264	-0.148607	0.697305	-0.104836	-0.703891	-0.085514	0.687402	-0.093798	-0.713469	-0.098198	0.243554	0.399914	-0.682738	0.560910	0.367405	0.526856	-0.722067	-0.257011	
14	0.668448	0.039368	-0.706746	-0.228336	0.688890	-0.041572	-0.708264	-0.148543	0.697295	-0.104758	-0.703907	-0.085560	0.687400	-0.093797	-0.713472	-0.098188	0.243495	0.399913	-0.682713	0.560965	0.367394	0.526901	-0.722066	-0.256940	
15	0.668466	0.039359	-0.706750	-0.228273	0.688898	-0.041616	-0.708265	-0.148486	0.697303	-0.104711	-0.703902	-0.085591	0.687407	-0.093797	-0.713466	-0.098180	0.243628	0.399757	-0.682629	0.561121	0.367467	0.526742	-0.722201	-0.256783	
16	0.668448	0.039382	-0.706763	-0.228282	0.688902	-0.041623	-0.708264	-0.148469	0.697303	-0.104713	-0.703905	-0.085566	0.687404	-0.093789	-0.713468	-0.098194	0.243325	0.400184	-0.682719	0.560839	0.367401	0.527139	-0.721847	-0.257056	
17	0.668446	0.039402	-0.706762	-0.228287	0.688909	-0.041622	-0.708261	-0.148452	0.697293	-0.104671	-0.703919	-0.085589	0.687411	-0.093768	-0.713463	-0.098208	0.243352	0.399989	-0.682780	0.560892	0.367300	0.527035	-0.721994	-0.257003	
18	0.668455	0.039401	-0.706753	-0.228287	0.688921	-0.041642	-0.708257	-0.148409	0.697290	-0.104652	-0.703922	-0.085604	0.687418	-0.093735	-0.713456	-0.098243	0.243541	0.399859	-0.682699	0.561001	0.367408	0.526844	-0.722112	-0.256907	
19	0.668460	0.039409	-0.706748	-0.228288	0.688927	-0.041661	-0.708257	-0.148379	0.697295	-0.104687	-0.703916	-0.085578	0.687415	-0.093711	-0.713457	-0.098276	0.243509	0.399803	-0.682755	0.560987	0.367330	0.526842	-0.722148	-0.256921	
20	0.668465	0.039450	-0.706744	-0.228277	0.688914	-0.041639	-0.708264	-0.148410	0.697291	-0.104716	-0.703917	-0.085558	0.687409	-0.093716	-0.713464	-0.098262	0.243514	0.399817	-0.682753	0.560977	0.367340	0.526844	-0.722138	-0.256932	
21	0.668453	0.039473	-0.706749	-0.228294	0.688889	-0.041604	-0.708283	-0.148447	0.697284	-0.104763	-0.703921	-0.085528	0.687401	-0.093709	-0.713470	-0.098278	0.243517	0.399796	-0.682796	0.560938	0.367302	0.526831	-0.722150	-0.256977	
