IMU_Q0,IMU_Q1,IMU_Q2,IMU_Q3,Opt_Q0,Opt_Q1,Opt_Q2,Opt_Q3
-0.58414,-0.381547,0.320645,0.640616,0.753753,0.328407,-0.502863,-0.266709
-0.584211,-0.38153,0.320552,0.640609,0.753788,0.328242,-0.502989,-0.266576
-0.584233,-0.381554,0.320558,0.64057,0.753764,0.32807,-0.503218,-0.266422
-0.584298,-0.381565,0.32052,0.640524,0.75362,0.328146,-0.503409,-0.266377
-0.584331,-0.381495,0.320496,0.640548,0.753665,0.328232,-0.503388,-0.266183
-0.584387,-0.381331,0.320543,0.640571,0.753657,0.327993,-0.50351,-0.26627
-0.58445,-0.381214,0.320617,0.640545,0.753661,0.328073,-0.503497,-0.266185
-0.584427,-0.381288,0.320679,0.640492,0.753614,0.32805,-0.503572,-0.266205
-0.584389,-0.381387,0.320833,0.64039,0.753616,0.327939,-0.503675,-0.26614
-0.584381,-0.38142,0.320888,0.64035,0.753773,0.327932,-0.50347,-0.266094
-0.584392,-0.381402,0.320824,0.640383,0.753612,0.327772,-0.503798,-0.266123
-0.584402,-0.381373,0.320873,0.640367,0.753746,0.327622,-0.503656,-0.266199
-0.584418,-0.381355,0.320901,0.640349,0.753703,0.327628,-0.503727,-0.266177
-0.584439,-0.381327,0.320941,0.640326,0.753794,0.327681,-0.50345,-0.266379
-0.584462,-0.381282,0.321016,0.640295,0.753715,0.327764,-0.503545,-0.266321
-0.584491,-0.38125,0.320996,0.640297,0.753723,0.327307,-0.503775,-0.266427
-0.584517,-0.381218,0.321003,0.640289,0.753633,0.327277,-0.503942,-0.266401
-0.584517,-0.381161,0.320999,0.640324,0.753668,0.327162,-0.503869,-0.266582
-0.584502,-0.381102,0.320905,0.640421,0.753715,0.327138,-0.5038,-0.26661
-0.584507,-0.381092,0.320818,0.640466,0.753703,0.327189,-0.503737,-0.266699
-0.584494,-0.381083,0.320832,0.640475,0.753551,0.327281,-0.50386,-0.266784
-0.584468,-0.38107,0.320911,0.640467,0.753409,0.327214,-0.504,-0.267001
-0.584466,-0.38104,0.320965,0.640461,0.753327,0.327098,-0.50414,-0.267111
-0.58449,-0.380922,0.320968,0.640506,0.753283,0.327173,-0.504126,-0.267169
-0.584488,-0.380886,0.320977,0.640526,0.753333,0.327398,-0.503811,-0.267347
-0.584413,-0.380994,0.321015,0.640512,0.753306,0.327373,-0.503825,-0.267427
-0.584295,-0.381118,0.321063,0.640521,0.753142,0.327372,-0.50403,-0.267505
-0.584237,-0.381118,0.321105,0.640552,0.753014,0.327449,-0.504185,-0.267478
-0.584203,-0.3811,0.321103,0.640596,0.752971,0.327419,-0.504222,-0.267566
-0.584161,-0.381132,0.321094,0.64062,0.752939,0.32731,-0.504302,-0.267639
-0.584125,-0.381162,0.321137,0.640613,0.753072,0.327242,-0.504061,-0.267802
-0.584068,-0.381158,0.321181,0.640645,0.753077,0.327511,-0.503884,-0.267793
-0.58402,-0.381168,0.321212,0.640668,0.75297,0.327961,-0.50376,-0.267776
-0.583979,-0.381218,0.321228,0.640666,0.752977,0.327906,-0.503772,-0.267801
-0.583923,-0.381252,0.321222,0.640701,0.752829,0.327873,-0.504039,-0.267752
-0.583911,-0.38118,0.321213,0.640759,0.752782,0.327993,-0.504012,-0.267791
-0.583904,-0.381063,0.321183,0.64085,0.752823,0.327869,-0.504035,-0.267782
-0.583836,-0.381063,0.321133,0.640937,0.752852,0.327654,-0.504136,-0.267775
-0.583724,-0.381224,0.321106,0.640957,0.752835,0.327519,-0.50431,-0.267661
-0.58367,-0.381266,0.321097,0.640985,0.752874,0.327786,-0.504191,-0.267448
-0.583643,-0.381243,0.321126,0.641009,0.753049,0.327492,-0.504134,-0.267424
-0.583624,-0.381277,0.321146,0.640996,0.753395,0.327316,-0.503795,-0.267303
-0.583666,-0.381296,0.321088,0.640976,0.753589,0.327333,-0.503517,-0.267258
-0.583682,-0.381318,0.321138,0.640923,0.753654,0.327579,-0.503262,-0.267254
-0.583689,-0.381382,0.32124,0.640828,0.753569,0.327511,-0.503539,-0.267054
-0.583779,-0.381357,0.321284,0.640738,0.753509,0.32778,-0.503602,-0.266776
-0.583962,-0.381049,0.321344,0.640724,0.753367,0.327683,-0.503968,-0.266603
-0.584087,-0.380811,0.321317,0.640766,0.753281,0.327946,-0.503981,-0.266502
-0.584194,-0.380675,0.321257,0.640779,0.753178,0.32774,-0.504342,-0.266361
-0.584318,-0.380561,0.321294,0.640715,0.75302,0.328518,-0.504192,-0.266133
-0.584289,-0.380708,0.3214,0.640601,0.752875,0.328708,-0.504356,-0.265998
-0.584243,-0.381028,0.321493,0.640406,0.752928,0.328628,-0.504348,-0.265962
-0.584249,-0.381293,0.32151,0.640234,0.752977,0.328686,-0.504275,-0.265889
-0.584229,-0.381476,0.321457,0.64017,0.753144,0.328846,-0.50401,-0.265722
-0.584158,-0.381807,0.321421,0.640055,0.753126,0.329113,-0.503887,-0.265676
-0.58411,-0.382129,0.321377,0.639929,0.753118,0.329078,-0.503842,-0.265828
-0.584121,-0.382271,0.321311,0.639868,0.753077,0.328946,-0.504001,-0.265806
-0.584198,-0.382266,0.321218,0.639847,0.753017,0.329299,-0.503921,-0.26569
-0.584376,-0.382245,0.321041,0.639786,0.75302,0.329272,-0.503925,-0.265709
-0.584502,-0.382316,0.320858,0.63972,0.753034,0.329156,-0.503969,-0.265728
-0.584525,-0.382352,0.320803,0.639705,0.753203,0.32915,-0.503639,-0.265881
-0.584539,-0.382216,0.320882,0.639734,0.753152,0.329187,-0.503585,-0.266082
-0.58453,-0.382222,0.320876,0.639742,0.753201,0.329139,-0.50344,-0.266277
-0.584472,-0.382351,0.320876,0.639718,0.753099,0.329381,-0.50346,-0.266231
-0.584422,-0.382394,0.320925,0.639713,0.7529,0.329654,-0.503553,-0.266281
-0.584457,-0.382269,0.320851,0.639792,0.752645,0.329782,-0.503882,-0.266218
