Test Name:,Pendulum Test 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Rate:,74,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Static/Acceleration/X,Static/Acceleration/Y,Static/Acceleration/Z,Static/Angular Velocity/X,Static/Angular Velocity/Y,Static/Angular Velocity/Z,Static/Magnetic Field/X,Static/Magnetic Field/Y,Static/Magnetic Field/Z,Static/Orientation/Scalar,Static/Orientation/X,Static/Orientation/Y,Static/Orientation/Z,Static/Temperature/Scalar,Static/Pressure/Scalar,Upper/Acceleration/X,Upper/Acceleration/Y,Upper/Acceleration/Z,Upper/Angular Velocity/X,Upper/Angular Velocity/Y,Upper/Angular Velocity/Z,Upper/Magnetic Field/X,Upper/Magnetic Field/Y,Upper/Magnetic Field/Z,Upper/Orientation/Scalar,Upper/Orientation/X,Upper/Orientation/Y,Upper/Orientation/Z,Upper/Temperature/Scalar,Upper/Pressure/Scalar,Middle/Acceleration/X,Middle/Acceleration/Y,Middle/Acceleration/Z,Middle/Angular Velocity/X,Middle/Angular Velocity/Y,Middle/Angular Velocity/Z,Middle/Magnetic Field/X,Middle/Magnetic Field/Y,Middle/Magnetic Field/Z,Middle/Orientation/Scalar,Middle/Orientation/X,Middle/Orientation/Y,Middle/Orientation/Z,Middle/Temperature/Scalar,Middle/Pressure/Scalar,Lower/Acceleration/X,Lower/Acceleration/Y,Lower/Acceleration/Z,Lower/Angular Velocity/X,Lower/Angular Velocity/Y,Lower/Angular Velocity/Z,Lower/Magnetic Field/X,Lower/Magnetic Field/Y,Lower/Magnetic Field/Z,Lower/Orientation/Scalar,Lower/Orientation/X,Lower/Orientation/Y,Lower/Orientation/Z,Lower/Temperature/Scalar,Loewr/Pressure/Scalar
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004978,-0.405308,0.914149,0.005580,1,1,1,1,1,1,1,1,1,1,1,0.527108,-0.134886,-0.490079,0.681018,1,1,1,1,1,1,1,1,1,1,1,0.019331,0.28876,0.022941,0.956931,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004868,-0.405269,0.914168,0.005558,1,1,1,1,1,1,1,1,1,1,1,0.518158,-0.095176,-0.493503,0.692032,1,1,1,1,1,1,1,1,1,1,1,-0.016463,0.309469,0.016601,0.950622,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004728,-0.405334,0.914139,0.005610,1,1,1,1,1,1,1,1,1,1,1,0.518116,-0.094861,-0.493471,0.692129,1,1,1,1,1,1,1,1,1,1,1,-0.016714,0.309676,0.016583,0.950551,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004590,-0.405578,0.914032,0.005586,1,1,1,1,1,1,1,1,1,1,1,0.517962,-0.094059,-0.493604,0.69226,1,1,1,1,1,1,1,1,1,1,1,-0.017407,0.31006,0.01635,0.950417,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004508,-0.406012,0.913841,0.005394,1,1,1,1,1,1,1,1,1,1,1,0.51824,-0.094425,-0.493549,0.692041,1,1,1,1,1,1,1,1,1,1,1,-0.01691,0.309968,0.016288,0.950457,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004488,-0.406447,0.913649,0.005156,1,1,1,1,1,1,1,1,1,1,1,0.518347,-0.094,-0.493613,0.691973,1,1,1,1,1,1,1,1,1,1,1,-0.017111,0.310252,0.016023,0.950365,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004484,-0.406712,0.913532,0.005012,1,1,1,1,1,1,1,1,1,1,1,0.518592,-0.093694,-0.493646,0.691807,1,1,1,1,1,1,1,1,1,1,1,-0.017109,0.310535,0.015714,0.950278,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004459,-0.407063,0.913376,0.004804,1,1,1,1,1,1,1,1,1,1,1,0.518872,-0.092935,-0.493388,0.691883,1,1,1,1,1,1,1,1,1,1,1,-0.017371,0.311292,0.015567,0.950028,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004436,-0.407241,0.913298,0.004639,1,1,1,1,1,1,1,1,1,1,1,0.519363,-0.092817,-0.493289,0.691602,1,1,1,1,1,1,1,1,1,1,1,-0.017017,0.311628,0.015257,0.949929,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004405,-0.407153,0.913338,0.004581,1,1,1,1,1,1,1,1,1,1,1,0.519542,-0.091846,-0.492805,0.691942,1,1,1,1,1,1,1,1,1,1,1,-0.017501,0.31261,0.015374,0.949596,1,1
