IMU_Q0,IMU_Q1,IMU_Q2,IMU_Q3,OpTr_Q0, OpTr_Q1, OpTr_Q2, OpTr_Q3
0.039935,0.866037,-0.496527,0.043064,0.753753,0.328407,-0.502863,-0.266709
0.03988,0.866082,-0.496449,0.043118,0.753788,0.328242,-0.502989,-0.266576
0.039836,0.86607,-0.49647,0.043131,0.753764,0.32807,-0.503218,-0.266422
0.039758,0.866084,-0.496451,0.043166,0.75362,0.328146,-0.503409,-0.266377
0.039752,0.866124,-0.496385,0.043133,0.753665,0.328232,-0.503388,-0.266183
0.039728,0.86618,-0.496302,0.042984,0.753657,0.327993,-0.50351,-0.26627
0.039665,0.866206,-0.496272,0.042849,0.753661,0.328073,-0.503497,-0.266185
0.039644,0.866152,-0.496368,0.042857,0.753614,0.32805,-0.503572,-0.266205
0.039599,0.866053,-0.496547,0.042818,0.753616,0.327939,-0.503675,-0.26614
0.039576,0.86602,-0.496609,0.042803,0.753773,0.327932,-0.50347,-0.266094
0.039592,0.866051,-0.496551,0.042835,0.753612,0.327772,-0.503798,-0.266123
0.039573,0.866046,-0.496565,0.04278,0.753746,0.327622,-0.503656,-0.266199
0.039549,0.866045,-0.496572,0.042748,0.753703,0.327628,-0.503727,-0.266177
0.039518,0.866044,-0.496581,0.0427,0.753794,0.327681,-0.50345,-0.266379
0.03948,0.866038,-0.496602,0.042615,0.753715,0.327764,-0.503545,-0.266321
0.039461,0.86606,-0.496565,0.042606,0.753723,0.327307,-0.503775,-0.266427
0.039437,0.866073,-0.496547,0.042579,0.753633,0.327277,-0.503942,-0.266401
0.039462,0.866097,-0.496504,0.042541,0.753668,0.327162,-0.503869,-0.266582
0.039541,0.866155,-0.496396,0.042566,0.753715,0.327138,-0.5038,-0.26661
0.039569,0.866191,-0.496328,0.04262,0.753703,0.327189,-0.503737,-0.266699
0.039585,0.866188,-0.496331,0.042604,0.753551,0.327281,-0.50386,-0.266784
0.039597,0.866164,-0.496378,0.042539,0.753409,0.327214,-0.504,-0.267001
0.039595,0.866158,-0.496395,0.04248,0.753327,0.327098,-0.50414,-0.267111
0.039609,0.866207,-0.496313,0.042394,0.753283,0.327173,-0.504126,-0.267169
0.039625,0.86622,-0.496294,0.042362,0.753333,0.327398,-0.503811,-0.267347
0.039668,0.866157,-0.496398,0.042412,0.753306,0.327373,-0.503825,-0.267427
0.039758,0.86608,-0.496519,0.042465,0.753142,0.327372,-0.50403,-0.267505
0.039821,0.866061,-0.496549,0.042436,0.753014,0.327449,-0.504185,-0.267478
0.039876,0.866068,-0.496535,0.042424,0.752971,0.327419,-0.504222,-0.267566
0.039923,0.866055,-0.496551,0.042453,0.752939,0.32731,-0.504302,-0.267639
0.039943,0.866024,-0.496603,0.042444,0.753072,0.327242,-0.504061,-0.267802
0.040006,0.866007,-0.496631,0.04241,0.753077,0.327511,-0.503884,-0.267793
0.040056,0.865989,-0.49666,0.042395,0.75297,0.327961,-0.50376,-0.267776
0.040084,0.865959,-0.496707,0.04242,0.752977,0.327906,-0.503772,-0.267801
0.040148,0.865944,-0.496726,0.042448,0.752829,0.327873,-0.504039,-0.267752
0.040198,0.865976,-0.496669,0.042403,0.752782,0.327993,-0.504012,-0.267791
0.040267,0.866036,-0.496565,0.042342,0.752823,0.327869,-0.504035,-0.267782
0.040377,0.866049,-0.49653,0.042377,0.752852,0.327654,-0.504136,-0.267775
0.04047,0.865984,-0.496625,0.04251,0.752835,0.327519,-0.50431,-0.267661
0.040528,0.865966,-0.496648,0.042546,0.752874,0.327786,-0.504191,-0.267448
0.040564,0.865964,-0.496652,0.042509,0.753049,0.327492,-0.504134,-0.267424
0.040568,0.865941,-0.49669,0.042519,0.753395,0.327316,-0.503795,-0.267303
0.040524,0.865957,-0.496663,0.042574,0.753589,0.327333,-0.503517,-0.267258
0.040476,0.86593,-0.496714,0.042554,0.753654,0.327579,-0.503262,-0.267254
0.040404,0.865868,-0.496831,0.042527,0.753569,0.327511,-0.503539,-0.267054
0.040276,0.865868,-0.496844,0.042478,0.753509,0.32778,-0.503602,-0.266776
0.040137,0.865988,-0.496669,0.042218,0.753367,0.327683,-0.503968,-0.266603
0.040078,0.866106,-0.496482,0.042069,0.753281,0.327946,-0.503981,-0.266502
