Martin	// User ID
7-4-2023	// Evaluation date
H_S_R3	7-4-2023	15:11:10:741	// Source file name and timestamp
100.000	// Sampling rate
54.375	// Data capture period



Sample #	IMU_Q0	IMU_Q1	IMU_Q2	IMU_Q3	Clust_Q0	Clust_Q1	Clust_Q2	Clust_Q3	New_ax_Q0	New_ax_Q1	New_ax_Q2	New_ax_Q3	
0	0.955629	0.010001	-0.001599	-0.294400	0.648708	-0.013546	-0.760633	-0.020779	-0.130111	-0.114235	0.698562	-0.694286	
1	0.955605	0.009985	-0.001570	-0.294476	0.648682	-0.013576	-0.760657	-0.020724	-0.130086	-0.114212	0.698522	-0.694335	
2	0.955572	0.009976	-0.001545	-0.294586	0.648707	-0.013412	-0.760636	-0.020786	-0.130029	-0.114311	0.698616	-0.694234	
3	0.955551	0.009981	-0.001548	-0.294651	0.648740	-0.013314	-0.760609	-0.020802	-0.130004	-0.114395	0.698656	-0.694185	
4	0.955510	0.009985	-0.001535	-0.294785	0.648637	-0.013737	-0.760692	-0.020714	-0.130143	-0.114079	0.698463	-0.694405	
5	0.955493	0.009990	-0.001517	-0.294840	0.648694	-0.013599	-0.760645	-0.020747	-0.130120	-0.114202	0.698525	-0.694327	
6	0.955499	0.009992	-0.001516	-0.294821	0.648688	-0.013560	-0.760651	-0.020743	-0.130089	-0.114221	0.698538	-0.694316	
7	0.955490	0.009986	-0.001523	-0.294850	0.648711	-0.013545	-0.760632	-0.020724	-0.130093	-0.114258	0.698529	-0.694319	
8	0.955503	0.009984	-0.001513	-0.294808	0.648725	-0.013419	-0.760620	-0.020792	-0.130053	-0.114322	0.698614	-0.694230	
9	0.955512	0.009987	-0.001504	-0.294778	0.648770	-0.013349	-0.760582	-0.020823	-0.130061	-0.114394	0.698651	-0.694179	
10	0.955501	0.009977	-0.001511	-0.294816	0.648697	-0.013356	-0.760644	-0.020842	-0.130006	-0.114316	0.698671	-0.694182	
11	0.955491	0.009945	-0.001513	-0.294850	0.648681	-0.013421	-0.760659	-0.020755	-0.130000	-0.114293	0.698597	-0.694261	
12	0.955477	0.009909	-0.001473	-0.294894	0.648723	-0.013410	-0.760622	-0.020812	-0.130052	-0.114318	0.698629	-0.694216	
13	0.955471	0.009899	-0.001451	-0.294915	0.648658	-0.013784	-0.760672	-0.020782	-0.130216	-0.114046	0.698483	-0.694376	
14	0.955471	0.009911	-0.001464	-0.294915	0.648744	-0.013389	-0.760604	-0.020810	-0.130057	-0.114351	0.698633	-0.694205	
15	0.955459	0.009921	-0.001452	-0.294953	0.648677	-0.013582	-0.760659	-0.020780	-0.130106	-0.114186	0.698554	-0.694303	
16	0.955449	0.009930	-0.001439	-0.294987	0.648723	-0.013604	-0.760619	-0.020782	-0.130163	-0.114214	0.698540	-0.694302	
17	0.955453	0.009928	-0.001407	-0.294975	0.648748	-0.013446	-0.760600	-0.020790	-0.130089	-0.114328	0.698599	-0.694237	
18	0.955474	0.009911	-0.001368	-0.294905	0.648666	-0.013646	-0.760667	-0.020775	-0.130135	-0.114138	0.698529	-0.694330	
19	0.955506	0.009898	-0.001380	-0.294804	0.648711	-0.013649	-0.760628	-0.020804	-0.130188	-0.114169	0.698538	-0.694306	
20	0.955524	0.009889	-0.001374	-0.294746	0.648730	-0.013428	-0.760615	-0.020829	-0.130076	-0.114308	0.698632	-0.694210	
21	0.955524	0.009892	-0.001357	-0.294744	0.648718	-0.013574	-0.760626	-0.020724	-0.130117	-0.114247	0.698517	-0.694328	
22	0.955509	0.009900	-0.001366	-0.294794	0.648731	-0.013484	-0.760616	-0.020727	-0.130075	-0.114312	0.698549	-0.694293	
23	0.955475	0.009888	-0.001369	-0.294903	0.648662	-0.013397	-0.760675	-0.020745	-0.129965	-0.114293	0.698603	-0.694262	
24	0.955460	0.009894	-0.001351	-0.294952	0.648715	-0.013432	-0.760630	-0.020734	-0.130030	-0.114326	0.698575	-0.694273	
25	0.955475	0.009922	-0.001348	-0.294901	0.648675	-0.013668	-0.760660	-0.020748	-0.130146	-0.114144	0.698503	-0.694353	
26	0.955506	0.009944	-0.001372	-0.294800	0.648737	-0.013387	-0.760610	-0.020831	-0.130057	-0.114338	0.698647	-0.694193	
27	0.955537	0.009942	-0.001370	-0.294701	0.648720	-0.013416	-0.760622	-0.020884	-0.130079	-0.114287	0.698671	-0.694174	
28	0.955560	0.009933	-0.001354	-0.294625	0.648666	-0.013740	-0.760666	-0.020756	-0.130186	-0.114090	0.698483	-0.694375	
29	0.955578	0.009929	-0.001346	-0.294567	0.648654	-0.013648	-0.760678	-0.020723	-0.130106	-0.114145	0.698499	-0.694365	
30	0.955602	0.009932	-0.001344	-0.294489	0.648715	-0.013505	-0.760628	-0.020783	-0.130093	-0.114264	0.698578	-0.694268	
31	0.955641	0.009932	-0.001337	-0.294362	0.648705	-0.013542	-0.760636	-0.020766	-0.130102	-0.114239	0.698556	-0.694293	
32	0.955652	0.009931	-0.001326	-0.294328	0.648646	-0.013578	-0.760687	-0.020731	-0.130057	-0.114176	0.698530	-0.694337	
33	0.955657	0.009924	-0.001323	-0.294313	0.648690	-0.013747	-0.760646	-0.020718	-0.130199	-0.114121	0.698454	-0.694397	
34	0.955692	0.009912	-0.001333	-0.294198	0.648742	-0.013445	-0.760606	-0.020799	-0.130086	-0.114319	0.698606	-0.694232	
35	0.955674	0.009914	-0.001339	-0.294257	0.648653	-0.013696	-0.760678	-0.020743	-0.130142	-0.114108	0.698493	-0.694370	
36	0.955636	0.009910	-0.001326	-0.294381	0.648746	-0.013384	-0.760602	-0.020819	-0.130060	-0.114353	0.698640	-0.694198	
37	0.955622	0.009898	-0.001314	-0.294427	0.648666	-0.013751	-0.760668	-0.020665	-0.130160	-0.114115	0.698424	-0.694435	
38	0.955619	0.009899	-0.001324	-0.294438	0.648712	-0.013383	-0.760634	-0.020742	-0.129999	-0.114349	0.698599	-0.694251	
39	0.955626	0.009901	-0.001321	-0.294414	0.648699	-0.013796	-0.760636	-0.020796	-0.130266	-0.114073	0.698481	-0.694365	
40	0.955643	0.009891	-0.001311	-0.294357	0.648740	-0.013379	-0.760608	-0.020803	-0.130045	-0.114356	0.698632	-0.694207	
41	0.955661	0.009876	-0.001308	-0.294302	0.648678	-0.013671	-0.760657	-0.020764	-0.130157	-0.114138	0.698511	-0.694344	
42	0.955664	0.009872	-0.001311	-0.294291	0.648668	-0.013492	-0.760668	-0.020796	-0.130048	-0.114224	0.698598	-0.694263	
43	0.955651	0.009883	-0.001315	-0.294333	0.648695	-0.013490	-0.760644	-0.020827	-0.130082	-0.114240	0.698613	-0.694239	
44	0.955642	0.009892	-0.001308	-0.294362	0.648722	-0.013409	-0.760625	-0.020745	-0.130026	-0.114341	0.698589	-0.694257	
